case,sequence_id,length,duration,total_xThreat,avg_xThreat,events,outcome
match_20250606_170248,362,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,363,3,0.066,0.85,0.2833333333333333,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,364,5,0.066,-0.1,-0.02,"['POSSESSION', 'PASS_FAILED', 'DRIBBLE', 'DRIBBLE', 'POSSESSION']",POSSESSION
match_20250606_170248,365,4,0.132,0.8,0.2,"['POSSESSION', 'DRIBBLE', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,366,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,367,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,368,3,0.066,0.8,0.26666666666666666,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,369,4,0.066,0.73,0.1825,"['POSSESSION', 'PASS_FAILED', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,370,3,0.066,0.0,0.0,"['POSSESSION', 'DRIBBLE', 'POSSESSION']",POSSESSION
match_20250606_170248,371,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,372,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,373,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,374,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,375,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,376,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,377,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,378,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,379,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,380,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,381,3,0.066,-0.15,-0.049999999999999996,"['POSSESSION', 'DRIBBLE_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,382,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,383,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,384,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,385,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,386,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,387,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,388,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,389,3,0.066,-0.1,-0.03333333333333333,"['POSSESSION', 'PASS_FAILED', 'POSSESSION']",POSSESSION
match_20250606_170248,390,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
match_20250606_170248,391,3,0.066,-0.05,-0.016666666666666666,"['POSSESSION', 'CLEAR', 'POSSESSION']",POSSESSION
match_20250606_170248,392,3,0.066,0.83,0.27666666666666667,"['POSSESSION', 'PASS', 'POSSESSION']",POSSESSION
