concept:name,mean,std,count,min,max
CLEAR,-0.05,0.0,13,-0.05,-0.05
DRIBBLE,0.0,0.0,137,0.0,0.0
DRIBBLE_FAILED,-0.15,0.0,122,-0.15,-0.15
GOAL,1.0,0.0,3,1.0,1.0
PASS,0.7674,0.2022,614,-0.3,0.91
PASS_FAILED,-0.1,0.0,587,-0.1,-0.1
POSSESSION,0.0,0.0,1391,0.0,0.0
SHOT,0.1,0.0,25,0.1,0.1
SHOT_MISSED,-0.2,0.0,28,-0.2,-0.2
